Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered
Anhui,Mainland China,1/22/2020 17:00,,,1,,
Beijing,Mainland China,1/22/2020 17:00,,,14,,
Chongqing,Mainland China,1/22/2020 17:00,,,6,,
Cook Islands,New Zealand,1/22/2020 17:00,,,0,0,0
England,United Kingdom,1/22/2020 17:00,,,0,0,0
Fujian,Mainland China,1/22/2020 17:00,,,1,,
Gansu,Mainland China,1/22/2020 17:00,,,,,
Guangdong,Mainland China,1/22/2020 17:00,,,26,,
Guangxi,Mainland China,1/22/2020 17:00,,,2,,
Guernsey,United Kingdom,1/22/2020 17:00,,,0,0,0
Guizhou,Mainland China,1/22/2020 17:00,,,1,,
Hainan,Mainland China,1/22/2020 17:00,,,4,,
Hebei,Mainland China,1/22/2020 17:00,,,1,,
Heilongjiang,Mainland China,1/22/2020 17:00,,,,,
Henan,Mainland China,1/22/2020 17:00,,,5,,
Hong Kong,Hong Kong,1/22/2020 17:00,,,,,
Hubei,Mainland China,1/22/2020 17:00,,,444,17,28
Hunan,Mainland China,1/22/2020 17:00,,,4,,
Inner Mongolia,Mainland China,1/22/2020 17:00,,,,,
Jersey,United Kingdom,1/22/2020 17:00,,,0,0,0
Jiangsu,Mainland China,1/22/2020 17:00,,,1,,
Jiangxi,Mainland China,1/22/2020 17:00,,,2,,
Jilin,Mainland China,1/22/2020 17:00,,,,,
Johor,Malaysia,1/22/2020 17:00,,,0,0,0
Kedah,Malaysia,1/22/2020 17:00,,,0,0,0
Kelantan,Malaysia,1/22/2020 17:00,,,0,0,0
Liaoning,Mainland China,1/22/2020 17:00,,,2,,
Macau,Macau,1/22/2020 17:00,,,1,,
Melaka,Malaysia,1/22/2020 17:00,,,0,0,0
Negeri Sembilan,Malaysia,1/22/2020 17:00,,,0,0,0
Ningxia,Mainland China,1/22/2020 17:00,,,1,,
Niue,New Zealand,1/22/2020 17:00,,,0,0,0
Northern Ireland,United Kingdom,1/22/2020 17:00,,,0,0,0
Pahang,Malaysia,1/22/2020 17:00,,,0,0,0
Perak,Malaysia,1/22/2020 17:00,,,0,0,0
Perlis,Malaysia,1/22/2020 17:00,,,0,0,0
Pitcairn Islands,United Kingdom,1/22/2020 17:00,,,0,0,0
Pulau Pinang,Malaysia,1/22/2020 17:00,,,0,0,0
Qinghai,Mainland China,1/22/2020 17:00,,,,,
Sabah,Malaysia,1/22/2020 17:00,,,0,0,0
Sarawak,Malaysia,1/22/2020 17:00,,,0,0,0
Scotland,United Kingdom,1/22/2020 17:00,,,0,0,0
Selangor,Malaysia,1/22/2020 17:00,,,0,0,0
Shaanxi,Mainland China,1/22/2020 17:00,,,,,
Shandong,Mainland China,1/22/2020 17:00,,,2,,
Shanghai,Mainland China,1/22/2020 17:00,,,9,,
Shanxi,Mainland China,1/22/2020 17:00,,,1,,
Sichuan,Mainland China,1/22/2020 17:00,,,5,,
Taiwan,Taiwan,1/22/2020 17:00,,,1,,
Terengganu,Malaysia,1/22/2020 17:00,,,0,0,0
Tianjin,Mainland China,1/22/2020 17:00,,,4,,
Tibet,Mainland China,1/22/2020 17:00,,,,,
Unknown,China,1/22/2020 17:00,,,,,
Unknown,Malaysia,1/22/2020 17:00,,,0,0,0
Unknown,Ukraine,1/22/2020 17:00,,,0,0,0
Unknown,United Kingdom,1/22/2020 17:00,,,0,0,0
W.P. Kuala Lumpur,Malaysia,1/22/2020 17:00,,,0,0,0
W.P. Labuan,Malaysia,1/22/2020 17:00,,,0,0,0
W.P. Putrajaya,Malaysia,1/22/2020 17:00,,,0,0,0
Wales,United Kingdom,1/22/2020 17:00,,,0,0,0
Washington,US,1/22/2020 17:00,,,1,,
Xinjiang,Mainland China,1/22/2020 17:00,,,,,
Yunnan,Mainland China,1/22/2020 17:00,,,1,,
Zhejiang,Mainland China,1/22/2020 17:00,,,10,,
,Japan,1/22/2020 17:00,,,2,,
,Thailand,1/22/2020 17:00,,,4,0,2
,South Korea,1/22/2020 17:00,,,1,,
,Kiribati,1/22/2020 17:00,,,0,0,0
,Palau,1/22/2020 17:00,,,0,0,0
,Summer Olympics 2020,1/22/2020 17:00,,,0,0,0
,Tonga,1/22/2020 17:00,,,0,0,0
,Winter Olympics 2022,1/22/2020 17:00,,,0,0,0
,Antarctica,1/22/2020 17:00,,,0,0,0
,"Korea, North",1/22/2020 17:00,,,0,0,0
,Nauru,1/22/2020 17:00,,,0,0,0
,Tuvalu,1/22/2020 17:00,,,0,0,0
Anhui,Mainland China,1/23/2020 17:00,,,9,,
Beijing,Mainland China,1/23/2020 17:00,,,22,,
Chongqing,Mainland China,1/23/2020 17:00,,,9,,
Cook Islands,New Zealand,1/23/2020 17:00,,,0,0,0
England,United Kingdom,1/23/2020 17:00,,,0,0,0
Fujian,Mainland China,1/23/2020 17:00,,,5,,
Gansu,Mainland China,1/23/2020 17:00,,,2,,
Guangdong,Mainland China,1/23/2020 17:00,,,32,,2
Guangxi,Mainland China,1/23/2020 17:00,,,5,,
Guernsey,United Kingdom,1/23/2020 17:00,,,0,0,0
Guizhou,Mainland China,1/23/2020 17:00,,,3,,
Hainan,Mainland China,1/23/2020 17:00,,,5,,
Heilongjiang,Mainland China,1/23/2020 17:00,,,2,,
Henan,Mainland China,1/23/2020 17:00,,,5,,
Hong Kong,Hong Kong,1/23/2020 17:00,,,2,,
Hubei,Mainland China,1/23/2020 17:00,,,444,17,28
Hubei,Mainland China,1/23/2020 17:00,,,444,17,28
Hunan,Mainland China,1/23/2020 17:00,,,9,,
Inner Mongolia,Mainland China,1/23/2020 17:00,,,,,
Jersey,United Kingdom,1/23/2020 17:00,,,0,0,0
Jiangsu,Mainland China,1/23/2020 17:00,,,5,,
Jiangxi,Mainland China,1/23/2020 17:00,,,7,,
Jilin,Mainland China,1/23/2020 17:00,,,1,,
Johor,Malaysia,1/23/2020 17:00,,,0,0,0
Kedah,Malaysia,1/23/2020 17:00,,,0,0,0
Kelantan,Malaysia,1/23/2020 17:00,,,0,0,0
Liaoning,Mainland China,1/23/2020 17:00,,,3,,
Macau,Macau,1/23/2020 17:00,,,2,,
Melaka,Malaysia,1/23/2020 17:00,,,0,0,0
Negeri Sembilan,Malaysia,1/23/2020 17:00,,,0,0,0
Ningxia,Mainland China,1/23/2020 17:00,,,1,,
Niue,New Zealand,1/23/2020 17:00,,,0,0,0
Northern Ireland,United Kingdom,1/23/2020 17:00,,,0,0,0
Pahang,Malaysia,1/23/2020 17:00,,,0,0,0
Perak,Malaysia,1/23/2020 17:00,,,0,0,0
Perlis,Malaysia,1/23/2020 17:00,,,0,0,0
Pitcairn Islands,United Kingdom,1/23/2020 17:00,,,0,0,0
Pulau Pinang,Malaysia,1/23/2020 17:00,,,0,0,0
Qinghai,Mainland China,1/23/2020 17:00,,,,,
Sabah,Malaysia,1/23/2020 17:00,,,0,0,0
Sarawak,Malaysia,1/23/2020 17:00,,,0,0,0
Scotland,United Kingdom,1/23/2020 17:00,,,0,0,0
Selangor,Malaysia,1/23/2020 17:00,,,0,0,0
Shaanxi,Mainland China,1/23/2020 17:00,,,3,,
Shandong,Mainland China,1/23/2020 17:00,,,6,,
Shanghai,Mainland China,1/23/2020 17:00,,,16,,
Shanxi,Mainland China,1/23/2020 17:00,,,1,,
Sichuan,Mainland China,1/23/2020 17:00,,,8,,
Taiwan,Taiwan,1/23/2020 17:00,,,1,,
Terengganu,Malaysia,1/23/2020 17:00,,,0,0,0
Tianjin,Mainland China,1/23/2020 17:00,,,4,,
Tibet,Mainland China,1/23/2020 17:00,,,,,
Unknown,China,1/23/2020 17:00,,,,,
Unknown,Malaysia,1/23/2020 17:00,,,0,0,0
Unknown,Ukraine,1/23/2020 17:00,,,0,0,0
Unknown,United Kingdom,1/23/2020 17:00,,,0,0,0
W.P. Kuala Lumpur,Malaysia,1/23/2020 17:00,,,0,0,0
W.P. Labuan,Malaysia,1/23/2020 17:00,,,0,0,0
W.P. Putrajaya,Malaysia,1/23/2020 17:00,,,0,0,0
Wales,United Kingdom,1/23/2020 17:00,,,0,0,0
Washington,US,1/23/2020 17:00,,,1,,
Xinjiang,Mainland China,1/23/2020 17:00,,,2,,
Yunnan,Mainland China,1/23/2020 17:00,,,2,,
Zhejiang,Mainland China,1/23/2020 17:00,,,27,,
,Japan,1/23/2020 17:00,,,1,,
,Thailand,1/23/2020 17:00,,,4,0,2
,South Korea,1/23/2020 17:00,,,1,,
,Singapore,1/23/2020 17:00,,,1,,
,Philippines,1/23/2020 17:00,,,,,
,Vietnam,1/23/2020 17:00,,,2,,
,Australia,1/23/2020 17:00,,,,,
,Mexico,1/23/2020 17:00,,,,,
,Brazil,1/23/2020 17:00,,,,,
,Colombia,1/23/2020 17:00,,,,,
,Kiribati,1/23/2020 17:00,,,0,0,0
,Palau,1/23/2020 17:00,,,0,0,0
,Summer Olympics 2020,1/23/2020 17:00,,,0,0,0
,Tonga,1/23/2020 17:00,,,0,0,0
,Winter Olympics 2022,1/23/2020 17:00,,,0,0,0
,Antarctica,1/23/2020 17:00,,,0,0,0
,"Korea, North",1/23/2020 17:00,,,0,0,0
,Nauru,1/23/2020 17:00,,,0,0,0
,Tuvalu,1/23/2020 17:00,,,0,0,0
Anhui,Mainland China,1/24/2020 17:00,,,15,,
Beijing,Mainland China,1/24/2020 17:00,,,36,,1
Chicago,US,1/24/2020 17:00,,,1,,
Chongqing,Mainland China,1/24/2020 17:00,,,27,,
Cook Islands,New Zealand,1/24/2020 17:00,,,0,0,0
England,United Kingdom,1/24/2020 17:00,,,0,0,0
Fujian,Mainland China,1/24/2020 17:00,,,10,,
Gansu,Mainland China,1/24/2020 17:00,,,2,,
Guangdong,Mainland China,1/24/2020 17:00,,,53,,2
Guangxi,Mainland China,1/24/2020 17:00,,,23,,
Guernsey,United Kingdom,1/24/2020 17:00,,,0,0,0
Guizhou,Mainland China,1/24/2020 17:00,,,3,,
Hainan,Mainland China,1/24/2020 17:00,,,8,,
Hebei,Mainland China,1/24/2020 17:00,,,2,1,
Heilongjiang,Mainland China,1/24/2020 17:00,,,4,1,
Henan,Mainland China,1/24/2020 17:00,,,9,,
Hong Kong,Hong Kong,1/24/2020 17:00,,,2,,
Hubei,Mainland China,1/24/2020 17:00,,,549,24,31
Hunan,Mainland China,1/24/2020 17:00,,,24,,
Inner Mongolia,Mainland China,1/24/2020 17:00,,,1,,
Jersey,United Kingdom,1/24/2020 17:00,,,0,0,0
Jiangsu,Mainland China,1/24/2020 17:00,,,9,,
Jiangxi,Mainland China,1/24/2020 17:00,,,18,,
Jilin,Mainland China,1/24/2020 17:00,,,3,,
Johor,Malaysia,1/24/2020 17:00,,,0,0,0
Kedah,Malaysia,1/24/2020 17:00,,,0,0,0
Kelantan,Malaysia,1/24/2020 17:00,,,0,0,0
Liaoning,Mainland China,1/24/2020 17:00,,,4,,
Macau,Macau,1/24/2020 17:00,,,2,,
Melaka,Malaysia,1/24/2020 17:00,,,0,0,0
Negeri Sembilan,Malaysia,1/24/2020 17:00,,,0,0,0
Ningxia,Mainland China,1/24/2020 17:00,,,2,,
Niue,New Zealand,1/24/2020 17:00,,,0,0,0
Northern Ireland,United Kingdom,1/24/2020 17:00,,,0,0,0
Pahang,Malaysia,1/24/2020 17:00,,,0,0,0
Perak,Malaysia,1/24/2020 17:00,,,0,0,0
Perlis,Malaysia,1/24/2020 17:00,,,0,0,0
Pitcairn Islands,United Kingdom,1/24/2020 17:00,,,0,0,0
Pulau Pinang,Malaysia,1/24/2020 17:00,,,0,0,0
Qinghai,Mainland China,1/24/2020 17:00,,,,,
Sabah,Malaysia,1/24/2020 17:00,,,0,0,0
Sarawak,Malaysia,1/24/2020 17:00,,,0,0,0
Scotland,United Kingdom,1/24/2020 17:00,,,0,0,0
Selangor,Malaysia,1/24/2020 17:00,,,0,0,0
Shaanxi,Mainland China,1/24/2020 17:00,,,5,,
Shandong,Mainland China,1/24/2020 17:00,,,15,,
Shanghai,Mainland China,1/24/2020 17:00,,,20,,1
Shanxi,Mainland China,1/24/2020 17:00,,,1,,
Sichuan,Mainland China,1/24/2020 17:00,,,15,,
Taiwan,Taiwan,1/24/2020 17:00,,,3,,
Terengganu,Malaysia,1/24/2020 17:00,,,0,0,0
