Country_Region,Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Population
Afghanistan,Afghanistan,148933,6836,82586,59511,361,32,0,4.59,55.45,8.28,145552,3381,2.32,Eastern Mediterranean,39009447
Albania,Albania,133310,2457,130314,539,99,0,23,1.84,97.75,1.89,132952,358,0.27,Europe,2877470
Algeria,Algeria,176724,4404,118409,53911,1495,34,852,2.49,67,3.72,167131,9593,5.74,Africa,43926079
Andorra,Andorra,14797,128,14380,289,31,0,32,0.87,97.18,0.89,14586,211,1.45,Europe,77278
Angola,Angola,43158,1026,39582,2550,88,4,193,2.38,91.71,2.59,42288,870,2.06,Africa,32956300
Antigua and Barbuda,Antigua and Barbuda,1311,43,1239,29,8,0,4,3.28,94.51,3.47,1288,23,1.79,Americas,98010
Argentina,Argentina,4975616,106747,4615834,253035,13736,300,9808,2.15,92.77,2.31,4891810,83806,1.71,Americas,45236884
Armenia,Armenia,230993,4625,220438,5930,280,4,149,2,95.43,2.1,229370,1623,0.71,Europe,2963811
Australia,Australia,35391,932,24203,10256,302,5,31,2.63,68.39,3.85,33726,1665,4.94,Western Pacific,25528864
Austria,Austria,655955,13147,644388,-1580,402,2,350,2,98.24,2.04,652659,3296,0.51,Europe,9011577
Azerbaijan,Azerbaijan,346878,5039,333694,8145,996,5,202,1.45,96.2,1.51,341933,4945,1.45,Europe,10148243
Bahamas,Bahamas,15124,292,12702,2130,113,1,83,1.93,83.99,2.3,14457,667,4.61,Americas,393616
Bahrain,Bahrain,269617,1384,267220,1013,122,0,124,0.51,99.11,0.52,268846,771,0.29,Eastern Mediterranean,1706669
Bangladesh,Bangladesh,1309910,21638,1141157,147115,13817,241,16112,1.65,87.12,1.9,1210982,98928,8.17,South-East Asia,164851401
Barbados,Barbados,4433,48,4251,134,11,0,0,1.08,95.89,1.13,4364,69,1.58,Americas,287411
Belarus,Belarus,449302,3494,443417,2391,967,11,1037,0.78,98.69,0.79,442831,6471,1.46,Europe,9449001
Belgium,Belgium,1132934,25258,0,1107676,2176,7,0,2.23,0,NaN,1121089,11845,1.06,Europe,11594739
Belize,Belize,14331,338,13543,450,47,0,29,2.36,94.5,2.5,14069,262,1.86,Americas,398312
Benin,Benin,8608,110,8136,362,214,2,0,1.28,94.52,1.35,8394,214,2.55,Africa,12151976
Bhutan,Bhutan,2540,2,2418,120,8,0,18,0.08,95.2,0.08,2501,39,1.56,South-East Asia,772443
Bolivia,Bolivia,476097,17910,411830,46357,832,28,997,3.76,86.5,4.35,470929,5168,1.1,Americas,11688459
Bosnia and Herzegovina,Bosnia and Herzegovina,205949,9689,189710,6550,124,0,13,4.7,92.12,5.11,205566,383,0.19,Europe,3278650
Botswana,Botswana,115220,1653,96964,16603,0,0,0,1.43,84.16,1.7,102124,13096,12.82,Africa,2356075
Brazil,Brazil,20034407,559944,17771228,1703235,40537,1072,0,2.79,88.7,3.15,19805359,229048,1.16,Americas,212710692
Brunei,Brunei,338,3,280,55,0,0,0,0.89,82.84,1.07,333,5,1.5,Western Pacific,437893
Bulgaria,Bulgaria,426432,18229,398721,9482,429,4,52,4.27,93.5,4.57,424295,2137,0.5,Europe,6942854
Burkina Faso,Burkina Faso,13599,169,13385,45,8,0,0,1.24,98.43,1.26,13560,39,0.29,Africa,20954852
Burma,Burma,315118,10695,225849,78574,4051,322,4962,3.39,71.67,4.74,284099,31019,10.92,South-East Asia,54446389
Burundi,Burundi,7518,38,773,6707,0,0,0,0.51,10.28,4.92,6715,803,11.96,Africa,11922216
Cabo Verde,Cabo Verde,33906,298,33173,435,48,0,45,0.88,97.84,0.9,33682,224,0.67,Africa,556581
Cambodia,Cambodia,79634,1488,72803,5343,583,17,658,1.87,91.42,2.04,75152,4482,5.96,Western Pacific,16741375
Cameroon,Cameroon,82064,1334,35261,45469,0,0,0,1.63,42.97,3.78,82064,0,0,Africa,26606188
Canada,Canada,1438793,26618,1405958,6217,1093,11,442,1.85,97.72,1.89,1432646,6147,0.43,Americas,37775022
Central African Republic,Central African Republic,7151,98,6859,194,0,0,0,1.37,95.92,1.43,7148,3,0.04,Africa,4837752
Chad,Chad,4974,174,4796,4,1,0,2,3.5,96.42,3.63,4972,2,0.04,Africa,16467965
Chile,Chile,1619183,35671,1575377,8135,726,31,1201,2.2,97.29,2.26,1611917,7266,0.45,Americas,19132514
China,China,115854,4848,99228,11778,94,0,41,4.18,85.65,4.89,115090,764,0.66,Western Pacific,1425887337
Colombia,Colombia,4815063,121695,4615354,78014,7084,479,9215,2.53,95.85,2.64,4757139,57924,1.22,Americas,50936262
Comoros,Comoros,4029,147,3873,9,1,0,4,3.65,96.13,3.8,4024,5,0.12,Africa,871326
Congo (Brazzaville),Congo (Brazzaville),13216,178,12421,617,0,0,0,1.35,93.98,1.43,13156,60,0.46,Africa,5530506
Congo (Kinshasa),Congo (Kinshasa),50793,1045,30043,19705,264,0,0,2.06,59.15,3.48,48970,1823,3.72,Africa,5530506
Costa Rica,Costa Rica,412918,5087,334759,73072,1795,17,642,1.23,81.07,1.52,403511,9407,2.33,Americas,5098730
Cote d'Ivoire,Cote d'Ivoire,50650,334,49642,674,151,2,89,0.66,98.01,0.67,49775,875,1.76,Africa,28160542
Croatia,Croatia,364244,8267,354830,1147,271,0,135,2.27,97.42,2.33,363039,1205,0.33,Europe,4102577
Cuba,Cuba,422614,3091,373354,46169,9363,98,9118,0.73,88.34,0.83,358378,64236,17.92,Americas,11325899
Cyprus,Cyprus,105036,431,39061,65544,598,4,0,0.41,37.19,1.1,100867,4169,4.13,Europe,1208238
Czechia,Czechia,1674183,30372,1641321,2490,257,-6,247,1.81,98.04,1.85,1673017,1166,0.07,Europe,10711019
Denmark,Denmark,321209,2552,307287,11370,927,0,811,0.79,95.67,0.83,315115,6094,1.93,Europe,5794279
Djibouti,Djibouti,11655,156,11491,8,0,0,0,1.34,98.59,1.36,11647,8,0.07,Eastern Mediterranean,989387
Dominica,Dominica,218,0,209,9,0,0,0,0,95.87,0,210,8,3.81,Americas,72004
Dominican Republic,Dominican Republic,343186,3971,324861,14354,336,3,381,1.16,94.66,1.22,340814,2372,0.7,Americas,10858648
