Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Population
Afghanistan,148572.0,6804.0,82586.0,59182.0,587.0,30.0,0.0,4.58,55.59,8.24,145008.0,3564.0,2.46,Eastern Mediterranean,39009447
Albania,133211.0,2457.0,130291.0,463.0,65.0,0.0,35.0,1.84,97.81,1.89,132922.0,289.0,0.22,Europe,2877470
Algeria,175229.0,4370.0,117557.0,53302.0,1307.0,41.0,787.0,2.49,67.09,3.72,165204.0,10025.0,6.07,Africa,43926079
Andorra,14766.0,128.0,14348.0,290.0,19.0,0.0,52.0,0.87,97.17,0.89,14586.0,180.0,1.23,Europe,77278
Angola,43070.0,1022.0,39389.0,2659.0,100.0,4.0,1029.0,2.37,91.45,2.59,42110.0,960.0,2.28,Africa,32956300
Antigua and Barbuda,1303.0,43.0,1235.0,25.0,0.0,0.0,0.0,3.3,94.78,3.48,1288.0,15.0,1.16,Americas,98010
Argentina,4961880.0,106447.0,4606026.0,249407.0,14850.0,402.0,11153.0,2.15,92.83,2.31,4875927.0,85953.0,1.76,Americas,45236884
Armenia,230713.0,4621.0,220289.0,5803.0,237.0,0.0,156.0,2.0,95.48,2.1,229090.0,1623.0,0.71,Europe,2963811
Australia,35089.0,927.0,24172.0,9990.0,253.0,2.0,31.0,2.64,68.89,3.84,33473.0,1616.0,4.83,Western Pacific,25528864
Austria,655553.0,13145.0,644038.0,346.0,346.0,3.0,344.0,2.01,98.24,2.04,652294.0,3259.0,0.5,Europe,9011577
Azerbaijan,345882.0,5034.0,333492.0,7356.0,931.0,4.0,225.0,1.46,96.42,1.51,341183.0,4699.0,1.38,Europe,10148243
Bahamas,15011.0,291.0,12619.0,2101.0,171.0,4.0,13.0,1.94,84.07,2.31,14252.0,759.0,5.33,Americas,393616
Bahrain,269495.0,1384.0,267096.0,1015.0,94.0,0.0,70.0,0.51,99.11,0.52,268731.0,764.0,0.28,Eastern Mediterranean,1706669
Bangladesh,1296093.0,21397.0,1125045.0,149651.0,15776.0,235.0,16297.0,1.65,86.8,1.9,1194752.0,101341.0,8.48,South-East Asia,164851401
Barbados,4422.0,48.0,4251.0,123.0,5.0,0.0,0.0,1.09,96.13,1.13,4359.0,63.0,1.45,Americas,287411
Belarus,448335.0,3483.0,442380.0,2472.0,581.0,11.0,419.0,0.78,98.67,0.79,441881.0,6454.0,1.46,Europe,9449001
Belgium,1130758.0,25251.0,0.0,1105507.0,1740.0,4.0,0.0,2.23,0.0,inf,1119030.0,11728.0,1.05,Europe,11594739
Belize,14284.0,338.0,13514.0,432.0,121.0,1.0,94.0,2.37,94.61,2.5,13983.0,301.0,2.15,Americas,398312
Benin,8394.0,108.0,8136.0,150.0,0.0,0.0,0.0,1.29,96.93,1.33,8324.0,70.0,0.84,Africa,12151976
Bhutan,2532.0,2.0,2400.0,130.0,8.0,0.0,1.0,0.08,94.79,0.08,2500.0,32.0,1.28,South-East Asia,772443
Bolivia,475265.0,17882.0,410833.0,46550.0,727.0,23.0,1065.0,3.76,86.44,4.35,470024.0,5241.0,1.12,Americas,11688459
Bosnia and Herzegovina,205825.0,9689.0,189697.0,6439.0,40.0,0.0,20.0,4.71,92.16,5.11,205523.0,302.0,0.15,Europe,3278650
Botswana,115220.0,1653.0,96964.0,16603.0,0.0,0.0,0.0,1.43,84.16,1.7,102124.0,13096.0,12.82,Africa,2356075
Brazil,19993870.0,558872.0,17771228.0,1663770.0,32496.0,1237.0,0.0,2.8,88.88,3.14,19758310.0,235560.0,1.19,Americas,212710692
Brunei,338.0,3.0,280.0,55.0,0.0,0.0,0.0,0.89,82.84,1.07,333.0,5.0,1.5,Western Pacific,437893
Bulgaria,426003.0,18225.0,398669.0,9109.0,462.0,3.0,52.0,4.28,93.58,4.57,424079.0,1924.0,0.45,Europe,6942854
Burkina Faso,13591.0,169.0,13385.0,37.0,0.0,0.0,0.0,1.24,98.48,1.26,13556.0,35.0,0.26,Africa,20954852
Burma,311067.0,10373.0,220887.0,79807.0,4713.0,312.0,3745.0,3.33,71.01,4.7,279119.0,31948.0,11.45,South-East Asia,54446389
Burundi,7518.0,38.0,773.0,6707.0,13.0,0.0,0.0,0.51,10.28,4.92,6573.0,945.0,14.38,Africa,11922216
Cabo Verde,33858.0,298.0,33128.0,432.0,28.0,0.0,60.0,0.88,97.84,0.9,33626.0,232.0,0.69,Africa,556581
Cambodia,79051.0,1471.0,72145.0,5435.0,577.0,29.0,628.0,1.86,91.26,2.04,74386.0,4665.0,6.27,Western Pacific,16741375
Cameroon,82064.0,1334.0,35261.0,45469.0,0.0,0.0,0.0,1.63,42.97,3.78,82064.0,0.0,0.0,Africa,26606188
Canada,1437700.0,26607.0,1405516.0,5577.0,2030.0,6.0,1202.0,1.85,97.76,1.89,1431803.0,5897.0,0.41,Americas,37775022
Central African Republic,7151.0,98.0,6859.0,194.0,0.0,0.0,0.0,1.37,95.92,1.43,7148.0,3.0,0.04,Africa,4837752
Chad,4973.0,174.0,4794.0,5.0,0.0,0.0,1.0,3.5,96.4,3.63,4971.0,2.0,0.04,Africa,16467965
Chile,1618457.0,35640.0,1574176.0,8641.0,605.0,24.0,1169.0,2.2,97.26,2.26,1611090.0,7367.0,0.46,Americas,19132514
China,115760.0,4848.0,99187.0,11725.0,141.0,0.0,15.0,4.19,85.68,4.89,115032.0,728.0,0.63,Western Pacific,1425887337
Colombia,4807979.0,121216.0,4606139.0,80624.0,6929.0,0.0,7963.0,2.52,95.8,2.63,4747775.0,60204.0,1.27,Americas,50936262
Comoros,4028.0,147.0,3869.0,12.0,0.0,0.0,0.0,3.65,96.05,3.8,4024.0,4.0,0.1,Africa,871326
Congo (Brazzaville),13216.0,178.0,12421.0,617.0,0.0,0.0,0.0,1.35,93.98,1.43,13156.0,60.0,0.46,Africa,5530506
Congo (Kinshasa),50529.0,1045.0,30043.0,19441.0,336.0,7.0,49.0,2.07,59.46,3.48,48768.0,1761.0,3.61,Africa,5530506
Costa Rica,411123.0,5070.0,334117.0,71936.0,4309.0,40.0,4478.0,1.23,81.27,1.52,402044.0,9079.0,2.26,Americas,5098730
