,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,WHO Region,New cases,New deaths,New recovered,Population
52136,Macau,2020-03-06,40.0,0.0,40.0,0.0,,10.0,0.0,13.0,
38798,Hong Kong,2020-03-10,120.0,3.0,65.0,52.0,,5.0,0.0,6.0,
81920,Sweden,2020-05-27,34440.0,4125.0,4971.0,25344.0,Europe,597.0,96.0,0.0,10105596.0
74769,Serbia,2020-07-14,18639.0,405.0,13940.0,4294.0,Europe,279.0,12.0,64.0,8733665.0
8453,Belgium,2020-11-06,479341.0,12520.0,27987.0,438834.0,Europe,11128.0,189.0,653.0,11594739.0
88261,US,2020-12-09,15339651.0,289548.0,5786915.0,9263188.0,Americas,227497.0,2601.0,72358.0,331198130.0
508,Afghanistan,2021-08-04,148572.0,6804.0,82586.0,59182.0,Eastern Mediterranean,587.0,30.0,0.0,39009447.0
59778,Mozambique,2021-08-04,126391.0,1500.0,96446.0,28445.0,Africa,1429.0,21.0,631.0,31333962.0
60280,Namibia,2021-08-04,119797.0,3080.0,96341.0,20376.0,Africa,355.0,16.0,122.0,2545264.0
60791,Nepal,2021-08-04,702097.0,9922.0,660116.0,32059.0,South-East Asia,2448.0,24.0,1994.0,29186486.0
61313,Netherlands,2021-08-04,1902261.0,18121.0,28594.0,1855546.0,Europe,2373.0,3.0,98.0,17138756.0
61873,New Zealand,2021-08-04,2880.0,28.0,2824.0,28.0,Western Pacific,2.0,0.0,3.0,5002100.0
62375,Nicaragua,2021-08-04,7592.0,195.0,4225.0,3172.0,Americas,0.0,0.0,0.0,6632263.0
62876,Niger,2021-08-04,5658.0,196.0,5349.0,113.0,Africa,21.0,1.0,4.0,24281433.0
64420,Norway,2021-08-04,138740.0,799.0,17998.0,119943.0,Europe,475.0,0.0,0.0,5425471.0
63896,North Macedonia,2021-08-04,156543.0,5494.0,150422.0,627.0,Europe,37.0,0.0,23.0,2083365.0
64936,Oman,2021-08-04,297431.0,3877.0,280927.0,12627.0,Eastern Mediterranean,309.0,9.0,504.0,5118446.0
65452,Pakistan,2021-08-04,1047999.0,23575.0,945829.0,78595.0,Eastern Mediterranean,4722.0,46.0,1454.0,221295851.0
65966,Panama,2021-08-04,437744.0,6851.0,418935.0,11958.0,Americas,932.0,9.0,1225.0,4321282.0
66468,Papua New Guinea,2021-08-04,17774.0,192.0,17384.0,198.0,Western Pacific,0.0,0.0,0.0,8963009.0
66976,Paraguay,2021-08-04,453367.0,15135.0,422995.0,15237.0,Americas,336.0,49.0,945.0,7141091.0
67490,Peru,2021-08-04,2116652.0,196598.0,2083747.0,2207.0,Americas,2207.0,80.0,1992.0,33016319.0
68010,Philippines,2021-08-04,1612541.0,28141.0,1521263.0,63137.0,Western Pacific,6779.0,48.0,6209.0,109722719.0
